iter	Passed	Remaining
310	10777	23876
311	10795	23806
312	10821	23751
313	10843	23689
314	10858	23611
315	10872	23533
316	10893	23470
317	10916	23411
318	10937	23348
319	10962	23294
320	10987	23242
321	11008	23180
322	11033	23126
323	11049	23054
324	11068	22987
325	11090	22930
326	11115	22875
327	11138	22820
328	11159	22759
329	11179	22698
330	11199	22636
331	11221	22578
332	11244	22521
333	11263	22459
334	11286	22405
335	11308	22347
336	11331	22292
337	11356	22242
338	11381	22192
339	11403	22136
340	11423	22077
341	11442	22015
342	11467	21965
343	11492	21916
344	11519	21870
345	11542	21817
346	11565	21765
347	11589	21713
348	11610	21657
349	11637	21612
350	11658	21556
351	11687	21515
352	11710	21464
353	11733	21411
354	11757	21361
355	11778	21306
356	11794	21243
357	11813	21185
358	11836	21133
359	11853	21073
360	11875	21020
361	11898	20969
362	11918	20914
363	11941	20865
364	11961	20810
365	11979	20751
366	11996	20691
367	12017	20639
368	12041	20591
369	12058	20532
370	12080	20482
371	12099	20425
372	12121	20376
373	12142	20323
374	12161	20268
375	12182	20217
376	12203	20166
377	12214	20098
378	12235	20048
379	12256	19997
380	12275	19944
381	12295	19892
382	12315	19839
383	12338	19792
384	12351	19729
385	12372	19680
386	12395	19634
387	12418	19587
388	12436	19534
389	12453	19478
390	12462	19411
391	12483	19362
392	12508	19319
393	12532	19276
394	12553	19227
395	12574	19178
396	12594	19130
397	12614	19080
398	12636	19033
399	12659	18988
400	12678	18938
401	12696	18886
402	12719	18843
